ICAO  Decription            FRQ      Phone no.          Name
-------------------------------------------------------------------------------
 06U  CTAF/UNICOM           122.800  0132485485122800  Jackpot Hayden Fld  
 09J  CTAF/UNICOM           123.000  0132485774123000  Jekyll Island       
 1B6  CTAF/UNICOM           122.800  0132496654122800  HOPEDALE INDUSTRIAL PARK
 1B6  BRADLEY APP/DEP       119.000  0132496654119000  HOPEDALE INDUSTRIAL PARK
 1B9  CTAF/UNICOM           123.000  0132496657123000  MANSFIELD MUNI      
 1B9  BOSTON APP/DEP        124.100  0132496657124100  MANSFIELD MUNI      
 1H0  CTAF/UNICOM           122.800  0132497248122800  Creve Coeur         
 1H0  ST LOUIS APP/DEP      126.500  0132497248126500  Creve Coeur         
 1O5  CTAF/UNICOM           122.800  0132497953122800  Montague Yreka Rohrer Field
 1S3  CTAF/UNICOM           122.800  0132498351122800  Tillitt Fld         
 22S  CTAF                  122.900  0132505083122900  Paisley             
 26U  CTAF                  122.900  0132505485122900  Mc Dermitt State    
 2M8  CTAF/UNICOM           122.800  0132507756122800  Charles W Baker     
 2M8  MEMPHIS DEP           124.150  0132507756124150  Charles W Baker     
 2M8  MEMPHIS APP           125.800  0132507756125800  Charles W Baker     
 2S7  CTAF                  122.900  0132508355122900  Chiloquin State     
 33N  CTAF/UNICOM           123.000  0132515178123000  Delaware Airpark    
 33N  CLNC DEL              125.550  0132515178125550  Delaware Airpark    
 33N  DOVER APP             132.420  0132515178132420  Delaware Airpark    
 36S  CTAF                  122.900  0132515483122900  Happy Camp          
 3B3  CTAF                  122.900  0132516651122900  STERLING            
 3O7  CTAF/UNICOM           123.000  0132517955123000  Hollister Muni      
 3O7  NORCAL APP/DEP        124.520  0132517955124520  Hollister Muni      
 3S8  CTAF/UNICOM           122.800  0132518356122800  Grants Pass         
 3S8  CASCADE APP/DEP       124.300  0132518356124300  Grants Pass         
 3U3  CTAF/UNICOM           122.800  0132518551122800  Bowman Fld          
 4A7  ATLANTA APP/DEP       119.800  0132526555119800  Clayton Co Tara Fld 
 4A7  CTAF/UNICOM           122.720  0132526555122720  Clayton Co Tara Fld 
 4A7  CLNC DEL              119.250  0132526555119250  Clayton Co Tara Fld 
 4A7  AWOS 3                124.820  0132526555124820  Clayton Co Tara Fld 
 4SD  AWOS 3                135.170  0132528368135170  Reno Stead          
 4SD  CTAF/UNICOM           122.700  0132528368122700  Reno Stead          
 4SD  APP/DEP               126.300  0132528368126300  Reno Stead          
 50J  CHARLESTON APP/DEP    135.800  0132534874135800  BERKELEY CO         
 50J  CTAF/UNICOM           123.050  0132534874123050  BERKELEY CO         
 52F  CTAF                  122.900  0132535070122900  Northwest Rgnl      
 5J0  CTAF/UNICOM           122.800  0132537448122800  Grant Co Rgnl Ogilvie Fld
 5J0  AWOS 3                118.370  0132537448118370  Grant Co Rgnl Ogilvie Fld
 5S0  CTAF                  122.900  0132538348122900  Oakridge State      
 5S2  CTAF                  122.900  0132538350122900  Crescent Lake State 
 62S  CTAF/UNICOM           122.800  0132545083122800  Christmas Valley    
 64S  CTAF/UNICOM           122.800  0132545283122800  Prospect State      
 6J0  COLUMBIA APP/DEP      124.150  0132547448124150  LEXINGTON COUNTY AT PELION
 6J0  CTAF/UNICOM           122.900  0132547448122900  LEXINGTON COUNTY AT PELION
 6S2  CTAF/UNICOM           122.800  0132548350122800  Florence Muni       
 6S2  AWOS                  118.220  0132548350118220  Florence Muni       
 6V4  CTAF                  122.800  0132548652122800  Wall Muni           
 73J  CTAF/UNICOM           122.700  0132555174122700  BEAUFORT CO         
 73J  APP/DEP               118.450  0132555174118450  BEAUFORT CO         
7FL6  UNICOM                122.970  0155707654122970  Spruce Creek        
7FL6  DAYTONA               121.720  0155707654121720  Spruce Creek        
 88J  CTAF/UNICOM           122.800  0132565674122800  ALLENDALE CO        
 8A6  CTAF/UNICOM           122.720  0132566554122720  Wilgrove Air Park   
 99N  CTAF/UNICOM           122.800  0132575778122800  BAMBERG CO          
 9A6  CHARLOTTE APP/DEP     120.050  0132576554120050  CHESTER CATAWBA RGNL
 9A6  CTAF/UNICOM           122.700  0132576554122700  CHESTER CATAWBA RGNL
9CL2  CTAF                  122.900  0157677650122900  CHRISTENSEN RANCH   
 A24  CTAF/UNICOM           123.000  0132655052123000  California Pines    
 A32  CTAF                  122.900  0132655150122900  Butte Valley        
 ABP  ABP AWOS              127.700  0132656680127700  Atkamba             
 ADC  ADC AWOS              127.700  0132656867127700  Andakombe           
AGGL  AGGL AWOS             127.700  0165717176127700  Santa Cruz          
AGGN  AGGN AWOS             127.700  0165717178127700  Gizo/Nusatope       
 AGL  Wanigela GND          125.700  0132657176125700  Wanigela            
