File generated by gen_phonebook.pl - 2013-09-05 15:54:57 UTC
8952 airports and 3146 navaids are present in this file (38 freq skipped) 

ICAO  Decription            FRQ      Phone no.          Name
-------------------------------------------------------------------------------
 00C  CTAF/UNICOM           122.800  0132484867122800  Animas Air Park     
00CA  CTAF                  122.900  0148486765122900  GOLDSTONE GTS       
 00F  CTAF                  122.900  0132484870122900  BROADUS AIRPORT     
 00M  CTAF                  122.900  0132484877122900  THIGPEN FLD         
 00R  CTAF/UNICOM           122.700  0132484882122700  LIVINGSTON MUNI     
 00V  CTAF/UNICOM           122.700  0132484886122700  MEADOW LAKE         
 01G  UNICOM                122.800  0132484971122800  PERRY WARSAW        
 01M  CTAF/UNICOM           122.800  0132484977122800  TISHOMINGO CO       
 02A  CTAF/UNICOM           122.800  0132485065122800  GRAGG WADE FLD      
 02A  MONTGOMERY APP/DEP    121.200  0132485065121200  GRAGG WADE FLD      
 02C  CTAF/UNICOM           122.700  0132485067122700  CAPITOL             
 02G  CTAF/UNICOM           123.000  0132485071123000  COLUMBIANA CO       
 02G  PITTSBURGH APP/DEP    124.750  0132485071124750  COLUMBIANA CO       
 03B  CTAF                  122.900  0132485166122900  MANSFIELD MUNI      
 03D  CTAF                  122.900  0132485168122900  MEMPHIS MEM         
 04A  CTAF/UNICOM           122.800  0132485265122800  FRANK SIKES         
04CA  CTAF                  122.900  0148526765122900  GRAY BUTTE FLD      
 04G  CTAF/UNICOM           122.800  0132485271122800  LANSDOWNE           
 04G  YOUNGSTOWN APP/DEP    133.950  0132485271133950  LANSDOWNE           
 04M  CTAF                  122.900  0132485277122900  CALHOUN CO          
04MS  UNICOM                122.800  0148527783122800  NICKS FLYING SVC    
04NV  UNICOM                123.000  0148527886123000  KINGSTON RANCH      
 04Y  CTAF/UNICOM           122.800  0132485289122800  HAWLEY MUNI         
 04Y  FARGO APP/DEP         120.400  0132485289120400  HAWLEY MUNI         
 05C  CTAF/UNICOM           123.000  0132485367123000  GRIFFITH MERRILLVILLE
 05C  CHICAGO APP/DEP       133.100  0132485367133100  GRIFFITH MERRILLVILLE
05CL  CTAF                  122.900  0148536776122900  POPE VALLEY         
 05D  CTAF                  122.900  0132485368122900  NEW TOWN MUNI       
 05U  CTAF                  122.900  0132485385122900  EUREKA              
05UT  UNICOM                122.800  0148538584122800  OLJATO              
 06A  CTAF/UNICOM           122.800  0132485465122800  MOTON FLD MUNI      
 06A  ATLANTA APP/DEP       126.550  0132485465126550  MOTON FLD MUNI      
 06A  ATLANTA APP/DEP       125.500  0132485465125500  MOTON FLD MUNI      
 06C  CTAF/UNICOM           123.000  0132485467123000  SCHAUMBURG RGNL     
 06D  CTAF/UNICOM           122.800  0132485468122800  ROLLA MUNI          
06FA  TWR                   120.400  0148547065120400  WILLIAM P GWINN     
06FA  GND                   121.650  0148547065121650  WILLIAM P GWINN     
06FA  PALM BEACH APP        124.600  0148547065124600  WILLIAM P GWINN     
